Rndrng_Prvdr_Gndr,Tot_HCPCS_Cds,Bene_Male_Cnt,Bene_Avg_Age,Tot_Srvcs,Tot_Benes,Bene_Avg_Risk_Scre,Tot_Sbmtd_Chrg,Tot_Mdcr_Pymt_Amt,Rndrng_Prvdr_Type_Addiction Medicine,Rndrng_Prvdr_Type_Advanced Heart Failure and Transplant Cardiology,Rndrng_Prvdr_Type_Allergy/ Immunology,Rndrng_Prvdr_Type_Anesthesiology,Rndrng_Prvdr_Type_Anesthesiology Assistant,Rndrng_Prvdr_Type_Audiologist,Rndrng_Prvdr_Type_Cardiac Surgery,Rndrng_Prvdr_Type_Cardiology,Rndrng_Prvdr_Type_Cardiovascular Disease (Cardiology),Rndrng_Prvdr_Type_Certified Clinical Nurse Specialist,Rndrng_Prvdr_Type_Certified Nurse Midwife,Rndrng_Prvdr_Type_Certified Registered Nurse Anesthetist (CRNA),Rndrng_Prvdr_Type_Chiropractic,Rndrng_Prvdr_Type_Clinical Cardiac Electrophysiology,Rndrng_Prvdr_Type_Clinical Cardiatric Electrophysiology,Rndrng_Prvdr_Type_Colorectal Surgery (Proctology),Rndrng_Prvdr_Type_Critical Care (Intensivists),Rndrng_Prvdr_Type_Dentist,Rndrng_Prvdr_Type_Dermatology,Rndrng_Prvdr_Type_Diagnostic Radiology,Rndrng_Prvdr_Type_Emergency Medicine,Rndrng_Prvdr_Type_Endocrinology,Rndrng_Prvdr_Type_Family Practice,Rndrng_Prvdr_Type_Gastroenterology,Rndrng_Prvdr_Type_General Practice,Rndrng_Prvdr_Type_General Surgery,Rndrng_Prvdr_Type_Geriatric Medicine,Rndrng_Prvdr_Type_Geriatric Psychiatry,Rndrng_Prvdr_Type_Gynecological Oncology,Rndrng_Prvdr_Type_Hand Surgery,Rndrng_Prvdr_Type_Hematology,Rndrng_Prvdr_Type_Hematology-Oncology,Rndrng_Prvdr_Type_Hematopoietic Cell Transplantation and Cellular Therapy,Rndrng_Prvdr_Type_Hospice and Palliative Care,Rndrng_Prvdr_Type_Hospitalist,Rndrng_Prvdr_Type_Infectious Disease,Rndrng_Prvdr_Type_Internal Medicine,Rndrng_Prvdr_Type_Interventional Cardiology,Rndrng_Prvdr_Type_Interventional Pain Management,Rndrng_Prvdr_Type_Interventional Radiology,Rndrng_Prvdr_Type_Licensed Clinical Social Worker,Rndrng_Prvdr_Type_Maxillofacial Surgery,Rndrng_Prvdr_Type_Medical Oncology,Rndrng_Prvdr_Type_Nephrology,Rndrng_Prvdr_Type_Neurology,Rndrng_Prvdr_Type_Neurosurgery,Rndrng_Prvdr_Type_Nuclear Medicine,Rndrng_Prvdr_Type_Nurse Practitioner,Rndrng_Prvdr_Type_Obstetrics & Gynecology,Rndrng_Prvdr_Type_Occupational Therapist in Private Practice,Rndrng_Prvdr_Type_Ophthalmology,Rndrng_Prvdr_Type_Optometry,Rndrng_Prvdr_Type_Oral Surgery (Dentist only),Rndrng_Prvdr_Type_Oral Surgery (Dentists only),Rndrng_Prvdr_Type_Orthopedic Surgery,Rndrng_Prvdr_Type_Osteopathic Manipulative Medicine,Rndrng_Prvdr_Type_Otolaryngology,Rndrng_Prvdr_Type_Pain Management,Rndrng_Prvdr_Type_Pathology,Rndrng_Prvdr_Type_Pediatric Medicine,Rndrng_Prvdr_Type_Physical Medicine and Rehabilitation,Rndrng_Prvdr_Type_Physical Therapist in Private Practice,Rndrng_Prvdr_Type_Physician Assistant,Rndrng_Prvdr_Type_Plastic and Reconstructive Surgery,Rndrng_Prvdr_Type_Podiatry,Rndrng_Prvdr_Type_Preventive Medicine,Rndrng_Prvdr_Type_Psychiatry,"Rndrng_Prvdr_Type_Psychologist, Clinical",Rndrng_Prvdr_Type_Pulmonary Disease,Rndrng_Prvdr_Type_Radiation Oncology,Rndrng_Prvdr_Type_Registered Dietitian or Nutrition Professional,Rndrng_Prvdr_Type_Rheumatology,Rndrng_Prvdr_Type_Sleep Medicine,Rndrng_Prvdr_Type_Speech Language Pathologist,Rndrng_Prvdr_Type_Sports Medicine,Rndrng_Prvdr_Type_Surgical Oncology,Rndrng_Prvdr_Type_Thoracic Surgery,Rndrng_Prvdr_Type_Undefined Physician type,Rndrng_Prvdr_Type_Urology,Rndrng_Prvdr_Type_Vascular Surgery,Rndrng_Prvdr_State_Abrvtn_AE,Rndrng_Prvdr_State_Abrvtn_AK,Rndrng_Prvdr_State_Abrvtn_AL,Rndrng_Prvdr_State_Abrvtn_AR,Rndrng_Prvdr_State_Abrvtn_AZ,Rndrng_Prvdr_State_Abrvtn_CA,Rndrng_Prvdr_State_Abrvtn_CO,Rndrng_Prvdr_State_Abrvtn_CT,Rndrng_Prvdr_State_Abrvtn_DC,Rndrng_Prvdr_State_Abrvtn_DE,Rndrng_Prvdr_State_Abrvtn_FL,Rndrng_Prvdr_State_Abrvtn_GA,Rndrng_Prvdr_State_Abrvtn_GU,Rndrng_Prvdr_State_Abrvtn_HI,Rndrng_Prvdr_State_Abrvtn_IA,Rndrng_Prvdr_State_Abrvtn_ID,Rndrng_Prvdr_State_Abrvtn_IL,Rndrng_Prvdr_State_Abrvtn_IN,Rndrng_Prvdr_State_Abrvtn_KS,Rndrng_Prvdr_State_Abrvtn_KY,Rndrng_Prvdr_State_Abrvtn_LA,Rndrng_Prvdr_State_Abrvtn_MA,Rndrng_Prvdr_State_Abrvtn_MD,Rndrng_Prvdr_State_Abrvtn_ME,Rndrng_Prvdr_State_Abrvtn_MI,Rndrng_Prvdr_State_Abrvtn_MN,Rndrng_Prvdr_State_Abrvtn_MO,Rndrng_Prvdr_State_Abrvtn_MP,Rndrng_Prvdr_State_Abrvtn_MS,Rndrng_Prvdr_State_Abrvtn_MT,Rndrng_Prvdr_State_Abrvtn_NC,Rndrng_Prvdr_State_Abrvtn_ND,Rndrng_Prvdr_State_Abrvtn_NE,Rndrng_Prvdr_State_Abrvtn_NH,Rndrng_Prvdr_State_Abrvtn_NJ,Rndrng_Prvdr_State_Abrvtn_NM,Rndrng_Prvdr_State_Abrvtn_NV,Rndrng_Prvdr_State_Abrvtn_NY,Rndrng_Prvdr_State_Abrvtn_OH,Rndrng_Prvdr_State_Abrvtn_OK,Rndrng_Prvdr_State_Abrvtn_OR,Rndrng_Prvdr_State_Abrvtn_PA,Rndrng_Prvdr_State_Abrvtn_PR,Rndrng_Prvdr_State_Abrvtn_RI,Rndrng_Prvdr_State_Abrvtn_SC,Rndrng_Prvdr_State_Abrvtn_SD,Rndrng_Prvdr_State_Abrvtn_TN,Rndrng_Prvdr_State_Abrvtn_TX,Rndrng_Prvdr_State_Abrvtn_UT,Rndrng_Prvdr_State_Abrvtn_VA,Rndrng_Prvdr_State_Abrvtn_VI,Rndrng_Prvdr_State_Abrvtn_VT,Rndrng_Prvdr_State_Abrvtn_WA,Rndrng_Prvdr_State_Abrvtn_WI,Rndrng_Prvdr_State_Abrvtn_WV,Rndrng_Prvdr_State_Abrvtn_WY,Rndrng_Prvdr_State_Abrvtn_ZZ
1,93,898.0,76,12483.0,1162,1.2289,1011065.0,337249.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,36,246.0,75,2086.0,659,1.0077,402640.0,142466.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,89.0,74,1016.0,236,1.2249,183488.62,63088.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,82.0,73,144.0,11,0.6685,7331.0,3324.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,75,93.0,73,1897.0,239,0.9479,187856.2,100130.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,14.0,75,558.0,32,0.8438,40790.0,13499.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,26.0,71,903.0,70,0.8867,58695.0,19081.79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,68.0,73,361.0,125,3.5634,31713.0,10663.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,82.0,71,84.0,13,1.0348,5804.5,2011.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,0.0,64,324.0,136,1.2895,50672.0,19537.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,462.0,55,16366.0,1045,1.5954,5257069.2,2042517.31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
